ano_campeonato,data,horario,rodada,estadio,arbitro,publico,publico_max,time_man,time_vis,tecnico_man,tecnico_vis,colocacao_man,colocacao_vis,valor_equipe_titular_man,valor_equipe_titular_vis,idade_media_titular_man,idade_media_titular_vis,gols_man,gols_vis,gols_1_tempo_man,gols_1_tempo_vis,escanteios_man,escanteios_vis,faltas_man,faltas_vis,chutes_bola_parada_man,chutes_bola_parada_vis,defesas_man,defesas_vis,impedimentos_man,impedimentos_vis,chutes_man,chutes_vis,chutes_fora_man,chutes_fora_vis
2018,2018-08-19,09:00,19,Estádio Governador Magalhães Pinto,Bruno Arleu de Araújo,24367.0,57483.0,Cruzeiro,EC Bahia,Mano Menezes,Enderson Moreira,8.0,9.0,24800000.0,12450000.0,30.5,28.5,1.0,1.0,0.0,0.0,3.0,5.0,17.0,13.0,15.0,19.0,0.0,2.0,2.0,2.0,3.0,1.0,8.0,5.0
2018,2018-08-19,09:00,19,Estádio Manoel Barradas,Rodrigo Batista Raposo,8822.0,35632.0,EC Vitória,Palmeiras,Paulo César Carpegiani,Luiz Felipe Scolari,16.0,6.0,13950000.0,40650000.0,24.0,27.4,0.0,3.0,0.0,2.0,3.0,3.0,24.0,18.0,18.0,24.0,5.0,2.0,0.0,0.0,2.0,8.0,4.0,9.0
2018,2018-08-19,09:00,19,Estádio Olímpico Nilton Santos,Marcelo Aparecido Ribeiro de Souza,8470.0,46931.0,Botafogo,Atlético-MG,Marcos Paquetá,Thiago Larghi,11.0,5.0,11700000.0,15850000.0,26.2,28.6,0.0,3.0,0.0,0.0,4.0,3.0,13.0,12.0,14.0,15.0,4.0,3.0,2.0,2.0,5.0,8.0,3.0,6.0
2018,2018-08-20,12:00,19,Estádio Raimundo Sampaio,Caio Max Augusto Vieira,4851.0,25000.0,América-MG,Fluminense,Adilson Batista,Marcelo Oliveira,12.0,10.0,9350000.0,14550000.0,30.9,25.3,0.0,0.0,0.0,0.0,4.0,4.0,13.0,7.0,7.0,14.0,4.0,2.0,1.0,0.0,2.0,4.0,5.0,3.0
2018,2018-08-20,12:00,19,Estádio Cícero Pompeu de Toledo,Rafael Traci,41075.0,67428.0,São Paulo,Chapecoense,Diego Aguirre,Guto Ferreira,1.0,13.0,28450000.0,10450000.0,27.9,28.7,2.0,0.0,1.0,0.0,2.0,6.0,16.0,19.0,20.0,17.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0
2018,2018-08-21,01:00,19,Estádio São Januário,Vinicius Gonçalves Dias Araujo,15539.0,24584.0,Vasco da Gama,Ceará SC,Valdir,Lisca,14.0,19.0,15450000.0,6680000.0,30.3,28.3,1.0,1.0,0.0,0.0,4.0,6.0,15.0,20.0,22.0,15.0,0.0,4.0,0.0,2.0,5.0,1.0,3.0,5.0
2018,2018-08-23,12:30,20,Estádio Durival Britto e Silva,Péricles Bassols Pegado Cortez,8561.0,20083.0,Paraná,São Paulo,Claudinei Oliveira,Diego Aguirre,20.0,1.0,6150000.0,31000000.0,25.9,31.0,1.0,1.0,1.0,1.0,4.0,9.0,14.0,12.0,15.0,16.0,2.0,3.0,2.0,3.0,2.0,3.0,9.0,7.0
2018,2018-08-23,12:30,20,Arena Fonte Nova,Rodrigo D,18671.0,55000.0,EC Bahia,Internacional,Enderson Moreira,Odair Hellmann,9.0,2.0,12950000.0,23700000.0,28.5,27.0,0.0,1.0,0.0,1.0,3.0,5.0,15.0,18.0,19.0,15.0,4.0,2.0,0.0,1.0,2.0,5.0,10.0,5.0
2018,2018-08-23,02:00,20,Estádio Adelmar da Costa Carvalho,Jailson Macedo Freitas,16425.0,35000.0,Sport Recife,América-MG,Eduardo Baptista,Adilson Batista,17.0,11.0,12500000.0,9000000.0,29.2,30.6,0.0,2.0,0.0,0.0,4.0,4.0,9.0,17.0,19.0,12.0,1.0,4.0,3.0,2.0,4.0,3.0,6.0,2.0
2018,2018-08-23,02:00,20,Allianz Parque,Anderson Daronco,24882.0,43600.0,Palmeiras,Botafogo,Luiz Felipe Scolari,Zé Ricardo,6.0,12.0,34450000.0,11800000.0,29.4,23.8,2.0,0.0,0.0,0.0,11.0,3.0,15.0,16.0,16.0,18.0,4.0,3.0,3.0,0.0,5.0,4.0,8.0,5.0
